crop_shared_id,crop_label_en,target_shared_id,target_label_en,country_count,countries,registration_use_count,product_count,source_record_count,pairing_status
http://aims.fao.org/aos/agrovoc/c_8174,vegetables,http://aims.fao.org/aos/agrovoc/c_30279,Spodoptera litura,2,CN | JP,19,11,19,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_7805,tomatoes,http://aims.fao.org/aos/agrovoc/c_957,blight,2,CN | TW,17,17,17,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_8174,vegetables,http://aims.fao.org/aos/agrovoc/c_30277,Spodoptera exigua,2,JP | TW,17,9,17,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_1394,cauliflowers,http://aims.fao.org/aos/agrovoc/c_459,annual weeds,2,JP | KR,16,10,16,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_13551,potatoes,http://aims.fao.org/aos/agrovoc/c_6836,scabs,2,CN | KR,12,12,12,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_7805,tomatoes,http://aims.fao.org/aos/agrovoc/c_30431,Liriomyza sativae,2,CN | JP,9,9,9,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_7805,tomatoes,http://aims.fao.org/aos/agrovoc/c_30277,Spodoptera exigua,2,CN | JP,8,8,8,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_4988,mung beans,http://aims.fao.org/aos/agrovoc/c_6710,rusts,2,CN | KR,7,7,7,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_14477,soybeans,http://aims.fao.org/aos/agrovoc/c_6710,rusts,2,CN | KR,7,7,7,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_7443,strawberries,http://aims.fao.org/aos/agrovoc/c_30279,Spodoptera litura,2,CN | KR,7,7,7,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_12487,muskmelons,http://aims.fao.org/aos/agrovoc/c_30755,Bemisia tabaci,2,CN | JP,6,6,6,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_2719,Euphorbia pulcherrima,http://aims.fao.org/aos/agrovoc/c_30755,Bemisia tabaci,2,CN | JP,5,4,5,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_8174,vegetables,http://aims.fao.org/aos/agrovoc/c_7111,slugs,2,CN | JP,5,5,5,official_pair_asserted
