target_shared_id,target_label_en,target_country_count,jurisdiction,product_id,product_name,target_local_labels,registration_use_count,source_record_count,pairing_status
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:21b77985637640a9ee8de4aa,噻灵·咯·精甲,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:65997c5dbadc39b4d9f27dad,噻虫·咪鲜胺,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:a2eddcc35375775a677b4d4c,噻虫·咯·精甲,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:bf37af5b613a9b804922a290,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:9868959097b55d1587e3d2b1,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:7ffe4c78db93772075184c0b,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:85caa34b50edc3c78687085f,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:5b98d10b3f52294fb50b3dae,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:efbe60e364f59a359071bbfe,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:386c1c6156764abb1501bf3e,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:a5be4c6d87d785790b9a261d,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:dbae9add629ba572a6309a48,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:66100177145c2ce6b6ccaf5c,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:7126f13b5d3c523f30b29730,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:9ae14d1f36f1a892b8a6c6df,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:5120dcfff9557f3e9227dbea,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:439948a30b63a95e7d4a015d,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:f795a409d0466e804276dd20,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:19e3bbc8f0889e7af0363af2,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:488bca8d605f3b3ce50617b2,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:a1ca7158e92c9ed8fefe49b8,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:ee95a89166ddc84b628b5bfd,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:00fb77b757d61a7e8d6530b1,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:84279b3b31d519f14c3c8e7e,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:d4a10f0b61d86acb683f391e,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:edcd8c21453a4813e015153c,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:7acfe18195eb2266bdbb25f3,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:1b821425986dec8558a53756,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:856d925ecd2cd49f4cc4d252,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:13e12ef49231deb5d856b959,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:87fe4d8d84c8b1bc87c2878c,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:3db12b8b39b35cfff3529c99,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:90d8ccc8e2ee899f8a4a72a2,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:b9bf8b132f312bf1388ae122,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:100dd46029f727e480cdc816,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:a88be18cba738b500cd9c5ca,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:61f2fa27f6feac396c8aac02,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:6e29cfd74da3560dbda6f894,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:a1a4e5c962726a1fd55dffb8,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:0a41994ebafa108147b04cad,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:4df7317cab018723ea53ee34,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:e71db32262601f4b74906c41,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:93930a12c306e791d9c87175,噻虫·咯·霜灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:61b8b6cd41feb6d364dfc831,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:4591716412a24fe30b9eb9ad,噻虫·咯·霜灵,根腐病,2,2,official_pair_asserted
